,age,employment-type,education-num,occupation,race,sex,weekly-hours,compensation
0,39,0,12,0,4,1,40,0
1,50,2,12,2,4,1,13,0
2,38,1,8,4,4,1,40,0
3,53,1,6,4,2,1,40,0
4,28,1,12,8,2,0,40,0
5,37,1,13,2,4,0,40,0
6,49,1,4,6,2,0,16,0
7,52,2,8,2,4,1,45,1
8,31,1,13,8,4,0,50,1
9,42,1,12,2,4,1,40,1
10,37,1,9,2,2,1,80,1
11,30,0,12,8,1,1,40,1
12,23,1,12,0,4,0,30,0
13,32,1,11,10,2,1,50,0
14,40,1,10,1,1,1,40,1
15,34,1,3,12,0,1,45,0
16,25,2,8,3,4,1,35,0
17,32,1,8,5,4,1,40,0
18,38,1,6,10,4,1,50,0
19,43,2,13,2,4,0,45,1
20,40,1,15,8,4,1,60,1
21,54,1,8,6,2,0,20,0
22,35,0,4,3,2,1,40,0
23,43,1,6,12,4,1,40,0
24,59,1,8,11,4,0,40,0
25,56,0,12,11,4,1,40,1
26,19,1,8,1,4,1,40,0
27,39,1,8,2,4,1,80,0
28,49,1,8,1,4,1,40,0
29,23,0,11,9,4,1,52,0
30,20,1,9,10,2,1,44,0
31,45,1,12,2,4,1,40,0
32,30,0,9,0,4,1,40,0
33,22,0,9,6,2,1,15,0
34,48,1,6,5,4,1,40,0
35,21,1,9,5,4,1,40,0
36,19,1,8,0,4,0,25,0
37,31,1,9,10,4,1,38,1
38,48,2,11,8,4,1,40,0
39,31,1,4,5,4,1,43,0
40,53,2,12,8,4,1,40,0
41,24,1,12,11,4,1,50,0
42,49,1,8,0,4,0,40,0
43,25,1,8,4,4,1,35,0
44,57,0,12,8,2,1,40,1
45,53,1,8,5,4,1,38,0
46,44,1,13,2,4,0,40,0
47,41,0,10,1,4,1,40,0
48,29,1,10,8,4,1,43,0
49,25,1,9,2,3,0,40,0
50,18,1,8,6,4,0,30,0
51,47,1,14,8,4,0,60,1
52,50,0,12,2,4,1,55,1
53,47,2,8,2,4,1,60,0
54,43,1,9,11,4,1,40,1
55,46,1,2,5,4,1,40,0
56,35,1,10,6,4,1,40,0
57,41,1,8,0,4,1,48,0
58,30,1,8,5,4,1,40,0
59,30,1,12,10,4,1,40,0
60,48,1,8,12,4,1,40,0
61,42,1,15,8,4,1,45,1
62,29,1,9,11,4,1,58,0
63,36,1,8,1,4,1,40,0
64,28,1,9,0,4,0,40,0
65,53,1,8,0,4,0,40,1
66,49,2,9,2,4,1,50,1
67,19,1,9,8,4,1,32,0
68,31,1,12,10,2,0,40,0
69,29,2,12,10,4,1,70,1
70,23,1,9,5,4,1,40,0
71,79,1,9,8,4,1,20,0
72,27,1,8,6,4,1,40,0
73,40,1,11,0,4,1,40,0
74,18,1,6,6,4,0,22,0
75,31,0,3,3,4,1,40,0
76,18,1,8,10,4,1,30,0
77,52,1,12,6,4,1,40,0
78,46,1,8,6,4,0,40,0
79,59,1,8,10,4,1,48,0
80,44,1,8,1,4,0,40,1
81,53,1,8,10,4,0,35,0
82,49,0,8,9,4,1,40,1
83,33,1,13,8,4,1,50,0
84,30,1,4,10,4,1,40,0
85,43,0,15,8,4,0,50,1
86,57,1,10,8,4,1,40,0
87,37,1,9,1,4,0,40,0
88,28,1,9,5,2,0,25,0
89,30,1,8,10,1,0,35,0
90,34,0,12,9,4,1,40,1
91,29,0,9,4,4,1,50,0
92,48,2,15,8,4,1,60,1
93,37,1,9,10,4,1,48,1
94,48,1,11,2,4,0,40,0
95,32,0,8,6,2,1,40,0
96,76,1,13,2,4,1,40,1
97,44,1,12,2,4,1,60,1
98,47,2,13,8,4,0,50,0
99,20,1,9,11,4,0,40,0
100,29,1,8,1,4,1,40,0
101,32,2,8,1,4,1,40,1
102,30,1,6,4,4,1,40,0
103,31,0,8,0,4,0,40,0
104,42,1,8,4,4,1,40,0
105,24,1,12,10,4,1,40,0
106,38,1,14,8,4,1,40,1
107,56,2,8,6,4,1,50,1
108,28,1,9,10,4,0,25,0
109,36,1,8,5,4,0,40,0
110,53,1,4,4,4,1,50,0
111,56,2,9,10,4,1,50,0
112,49,0,10,1,2,1,40,1
113,55,1,9,10,4,1,56,0
114,22,1,8,1,4,1,41,0
115,21,1,9,6,4,0,40,0
116,40,1,12,2,4,1,60,0
117,30,1,12,2,2,1,40,0
118,29,0,12,8,4,1,50,1
119,19,1,9,6,2,1,35,0
120,47,1,12,2,4,0,40,1
121,20,1,9,0,4,0,28,0
122,31,1,11,0,4,1,40,1
123,39,1,9,1,4,1,40,0
124,28,1,11,10,4,0,60,0
125,24,1,8,6,4,0,40,0
126,38,2,8,1,4,1,35,0
127,37,1,12,10,4,1,50,0
128,46,1,11,11,2,0,36,0
129,38,0,13,8,4,1,40,1
130,43,2,8,1,4,1,60,0
131,27,1,10,0,4,0,35,0
132,20,1,9,10,4,1,20,0
133,49,1,9,1,1,1,40,1
134,61,2,8,1,4,1,40,0
135,27,1,9,10,4,0,40,0
136,19,1,9,6,4,1,30,0
137,45,1,10,8,4,0,40,1
138,70,1,9,11,4,1,40,0
139,31,1,8,12,2,0,30,0
140,22,1,9,6,4,1,24,0
141,36,1,8,6,4,0,24,0
142,64,1,6,1,4,1,40,0
143,47,0,9,0,4,0,38,0
144,34,1,8,0,4,0,40,0
145,33,1,12,2,1,0,40,0
146,21,1,8,1,4,1,35,0
147,48,1,8,1,4,1,46,0
148,23,1,12,4,4,1,40,0
149,71,2,9,10,2,1,2,0
150,29,1,8,1,4,1,60,0
151,42,1,12,6,2,1,50,0
152,25,1,8,6,4,0,40,0
153,44,2,13,2,1,0,40,0
154,28,1,8,2,1,0,40,0
155,45,2,13,10,4,1,40,1
156,36,1,9,6,4,0,40,0
157,39,0,11,2,4,1,42,0
158,46,0,13,9,4,1,40,0
159,18,1,6,4,4,1,16,0
160,66,0,10,8,4,0,20,0
161,27,1,8,6,4,1,40,0
162,28,0,8,9,4,1,40,0
163,51,1,9,10,4,1,40,1
164,27,1,12,1,4,1,50,0
165,28,0,12,8,4,1,40,1
166,27,1,8,10,4,0,25,0
167,21,1,8,1,2,1,40,0
168,34,1,8,4,2,1,40,0
169,18,1,8,6,4,1,12,0
170,33,1,12,8,4,1,65,0
171,44,0,9,2,2,1,38,1
172,43,1,9,0,4,0,40,0
173,30,1,9,1,2,1,45,0
174,40,1,3,5,4,1,40,1
175,37,0,9,0,4,1,42,1
176,34,1,8,0,2,1,40,0
177,41,2,12,2,4,0,40,0
178,31,1,13,8,4,0,50,0
179,58,0,15,8,4,1,1,1
180,38,1,9,5,2,0,28,0
181,24,1,9,5,4,1,40,0
182,41,0,12,1,2,1,40,0
183,47,1,9,11,4,1,45,0
184,41,0,12,11,4,1,24,0
185,23,1,2,12,4,1,40,0
186,36,1,9,1,4,1,40,0
187,40,0,13,2,4,0,55,1
188,35,1,13,8,4,1,40,1
189,24,2,8,10,4,1,40,0
190,26,1,13,8,4,0,40,0
191,51,1,12,2,4,1,50,1
192,42,0,9,8,4,0,40,0
193,37,0,8,0,4,0,35,0
194,18,1,6,10,4,0,40,0
195,36,1,12,6,2,1,36,1
196,35,1,8,1,4,1,60,0
197,58,2,8,10,4,0,35,1
198,17,1,6,10,4,0,12,0
199,44,0,8,12,2,1,40,0
200,37,1,8,1,4,1,40,1
201,35,1,9,10,0,0,40,0
202,60,1,8,1,1,1,40,0
203,54,2,3,5,4,1,40,1
204,37,1,12,2,2,1,60,1
205,50,1,11,10,4,0,40,0
206,38,1,12,10,4,1,50,0
207,45,1,12,8,4,1,55,0
208,25,1,5,1,4,1,40,0
209,31,1,9,4,4,1,40,0
210,90,1,8,6,2,1,40,0
211,54,1,8,0,2,1,20,0
212,53,0,0,5,4,0,35,0
213,18,1,8,10,4,0,40,0
214,66,2,8,3,4,1,50,0
215,75,1,10,0,4,0,20,0
216,65,1,8,0,4,0,40,0
217,35,1,6,12,2,1,40,0
218,41,1,8,10,2,0,38,0
219,25,1,9,0,4,1,42,0
220,33,1,9,1,3,0,40,0
221,28,1,14,8,4,1,55,1
222,59,0,8,6,4,1,40,0
223,40,0,9,0,4,0,38,0
224,41,1,12,2,4,1,50,1
225,38,0,13,2,4,1,70,1
226,23,1,8,12,4,1,40,0
227,40,1,12,8,4,1,40,1
228,41,2,8,6,4,0,20,0
229,24,0,11,9,4,1,50,0
230,38,1,9,1,4,1,40,0
231,56,1,8,0,4,1,35,0
232,58,1,8,0,4,1,45,1
233,32,1,8,6,4,0,34,0
234,40,1,11,11,4,1,60,1
235,45,1,8,0,4,1,40,0
236,41,1,14,8,4,0,40,1
237,42,1,12,0,2,0,40,0
238,59,0,5,6,2,0,30,0
239,19,0,9,0,4,1,40,0
240,58,1,9,12,4,1,20,0
241,42,2,8,3,1,1,40,1
242,20,1,8,6,4,0,40,0
243,32,1,8,6,4,0,30,0
244,45,1,10,2,4,0,45,0
245,50,1,3,1,4,1,40,0
246,36,1,12,8,4,0,40,0
247,45,1,8,10,4,1,60,0
248,17,1,6,6,4,1,12,0
249,59,1,9,10,4,1,40,0
250,26,1,6,1,4,1,40,0
251,37,2,9,2,1,1,75,1
252,64,1,8,2,4,1,40,1
253,33,1,12,8,4,0,45,0
254,33,1,8,1,4,0,40,1
255,61,1,8,2,4,1,40,1
256,17,1,4,6,4,1,24,0
257,50,2,13,3,4,1,98,0
258,27,0,13,8,4,1,35,0
259,30,1,8,8,4,0,40,0
260,43,1,8,4,2,1,40,0
261,44,1,9,1,4,1,40,1
262,35,1,9,2,4,0,40,0
263,25,1,9,11,4,0,40,0
264,24,1,9,5,4,0,48,1
265,22,1,12,8,4,0,15,0
266,42,0,9,1,4,1,40,1
267,34,1,11,10,2,0,45,0
268,60,1,12,8,4,0,42,0
269,21,1,8,4,4,1,40,0
270,57,0,13,10,4,1,40,1
271,41,1,14,8,4,1,60,1
272,50,1,9,6,4,1,45,0
273,25,1,12,2,4,0,40,0
274,50,1,3,1,4,1,40,0
275,36,1,12,8,4,1,45,0
276,31,1,8,8,4,0,40,0
277,29,0,12,9,4,1,56,0
278,21,1,9,10,4,1,45,0
279,27,1,12,11,2,0,40,0
280,65,1,8,12,4,1,16,0
281,37,2,12,10,4,0,60,0
282,24,1,8,1,4,1,40,0
283,38,1,8,10,4,1,80,0
284,48,1,12,0,4,1,40,1
285,21,1,9,6,1,0,25,0
286,31,1,8,12,4,1,45,1
287,55,1,8,10,4,1,40,1
288,24,1,9,0,1,0,40,0
289,43,1,8,0,4,0,40,0
290,26,1,11,11,4,1,45,0
291,46,1,11,8,4,0,33,0
292,35,1,11,0,4,1,40,1
293,41,2,9,3,4,1,54,1
294,26,1,12,10,4,1,40,0
295,34,1,13,2,1,1,35,1
296,36,2,12,8,2,0,40,1
297,22,1,9,10,4,1,15,0
298,24,1,9,5,4,1,40,0
299,77,2,9,10,4,1,40,0
300,22,1,2,5,4,0,40,0
301,29,1,9,11,4,0,40,0
302,62,1,8,6,4,0,24,0
303,39,2,8,2,4,1,40,0
304,43,1,9,1,4,1,50,0
305,35,1,8,12,4,1,45,0
306,29,1,6,2,4,0,40,0
307,76,2,13,1,4,1,10,0
308,63,2,8,3,4,1,45,0
309,43,1,9,8,4,0,50,1
310,58,2,8,4,4,1,40,0
311,66,1,8,12,4,1,55,0
312,41,1,9,1,2,1,45,0
313,26,1,12,0,4,1,40,0
314,47,1,10,6,4,1,40,0
315,55,0,5,0,4,1,40,0
316,53,1,8,12,4,1,40,0
317,17,1,2,6,4,1,48,0
318,30,1,8,1,4,1,40,0
319,49,1,13,8,4,1,60,0
320,19,1,8,10,2,1,30,0
321,45,1,8,6,2,1,40,0
322,26,1,11,10,4,1,40,0
323,38,1,10,1,4,1,40,1
324,36,0,8,9,4,1,40,1
325,33,1,8,3,4,1,20,0
326,22,0,9,9,2,0,40,0
327,43,2,12,10,4,1,42,0
328,56,1,11,6,4,1,25,0
329,31,1,12,8,4,1,25,0
330,33,1,12,2,4,1,40,1
331,26,1,8,6,4,1,40,0
332,33,1,12,2,4,1,40,1
333,46,0,6,12,4,1,30,0
334,38,0,8,0,4,1,40,1
335,65,1,6,6,3,1,40,0
336,40,1,10,11,4,1,40,1
337,42,1,8,0,4,0,35,0
338,26,2,4,1,4,1,40,0
339,36,1,5,6,4,0,24,0
340,62,1,13,8,4,1,40,1
341,43,1,12,12,4,1,45,0
342,43,1,12,2,4,1,45,1
343,22,1,8,10,4,1,55,0
344,28,1,8,1,4,1,40,0
345,56,2,9,10,4,1,45,0
346,22,1,11,10,4,0,15,0
347,57,1,12,2,4,0,45,1
348,39,1,8,10,4,0,40,0
349,26,0,9,0,4,0,15,0
350,17,1,6,6,4,1,10,0
351,40,0,10,5,4,1,38,1
352,45,1,8,5,2,1,40,0
353,44,1,8,1,2,1,40,0
354,20,0,9,0,4,0,10,0
355,33,1,8,1,4,0,40,0
356,23,1,9,10,4,1,40,0
357,46,2,13,2,4,1,30,0
358,38,1,8,10,4,1,50,0
359,54,1,8,12,4,1,40,0
360,46,1,2,1,4,0,45,0
361,25,1,9,1,4,1,40,0
362,46,1,9,10,4,0,40,0
363,36,0,9,12,4,0,40,0
364,23,1,8,6,4,0,25,0
365,29,1,8,5,4,1,40,0
366,44,1,9,0,4,0,6,1
367,19,1,9,0,4,0,16,0
368,19,1,8,6,4,0,40,0
369,35,1,8,6,4,0,40,1
370,27,1,12,1,4,1,50,0
371,46,2,11,1,4,1,40,0
372,34,0,12,2,4,1,45,1
373,34,1,8,6,4,0,35,0
374,44,1,9,11,4,1,40,0
375,45,1,9,4,4,0,40,0
376,25,1,12,2,4,1,55,1
377,52,2,12,2,4,1,50,1
378,20,1,9,4,4,1,40,0
379,28,1,9,6,4,0,40,0
380,50,0,12,9,4,1,40,1
381,34,1,10,11,4,0,64,0
382,28,1,3,4,3,1,40,0
383,41,1,13,2,4,1,65,1
384,28,1,8,0,4,1,40,0
385,46,2,8,1,4,1,25,0
386,32,1,9,2,4,1,50,0
387,41,0,9,6,2,0,24,0
388,24,1,8,4,2,0,40,0
389,33,1,9,2,4,0,40,0
390,46,1,15,2,4,1,60,1
391,31,0,9,5,4,1,40,0
392,35,1,7,1,4,1,50,1
393,52,1,1,5,4,1,40,0
394,30,1,6,6,4,0,19,0
395,34,0,6,5,2,1,40,0
396,34,0,8,12,4,0,40,0
397,20,1,9,10,4,1,30,0
398,17,1,6,4,4,1,18,0
399,32,0,12,2,4,0,40,1
400,29,1,8,3,4,1,40,0
401,33,1,5,1,4,0,35,0
402,25,1,8,12,4,1,60,0
403,36,0,13,8,4,1,40,0
404,23,1,8,4,4,1,72,0
405,63,2,8,2,4,1,40,1
406,47,0,13,8,4,1,40,0
407,40,2,12,8,4,0,40,0
408,30,1,11,6,4,0,25,1
409,27,1,9,1,1,1,40,0
410,33,1,13,8,4,1,50,1
411,34,0,8,3,2,1,60,0
412,34,0,9,9,4,0,40,0
413,23,1,9,0,4,1,40,0
414,42,0,9,0,4,0,40,0
415,29,1,12,8,4,1,40,0
416,45,1,8,0,4,0,28,0
417,24,0,8,9,4,1,40,0
418,44,1,9,8,4,1,40,1
419,27,1,4,1,4,1,40,0
420,20,1,9,10,4,1,35,0
421,44,1,8,2,2,0,40,0
422,51,1,8,1,0,1,40,0
423,20,1,8,5,4,1,40,0
424,19,1,8,5,2,0,40,0
425,45,2,9,1,4,1,55,1
426,60,1,8,1,4,1,40,1
427,42,1,11,2,2,1,40,1
428,44,2,8,10,4,0,40,1
429,40,1,10,5,1,1,40,1
430,30,1,8,2,4,0,40,0
431,38,1,9,12,2,1,50,0
432,23,1,8,12,4,1,60,0
433,44,1,11,3,4,1,40,0
434,54,0,8,12,2,1,40,0
435,32,1,12,8,4,1,50,0
436,50,1,1,1,4,1,40,0
437,24,1,12,11,4,0,20,0
438,37,1,8,0,4,0,60,0
439,52,1,8,12,4,1,40,0
440,38,1,9,12,4,1,40,0
441,49,1,13,2,4,1,45,1
442,30,1,12,11,4,0,16,1
443,60,1,9,8,4,1,40,1
444,35,1,8,1,4,1,40,0
445,30,1,8,12,4,1,60,0
446,67,1,10,6,4,0,24,0
447,46,1,12,1,4,0,40,0
448,17,1,4,6,4,1,6,0
449,22,1,9,4,4,1,30,0
450,27,1,5,6,4,1,40,0
451,23,1,8,6,4,0,35,0
452,33,1,11,1,4,1,45,0
453,43,2,9,1,4,1,20,0
454,28,0,12,8,4,1,20,0
455,41,1,8,1,4,0,40,0
456,25,1,9,0,2,0,20,0
457,59,0,8,12,4,1,45,0
458,45,0,12,8,4,0,40,0
459,38,1,12,10,4,1,60,1
460,40,1,8,6,4,0,35,0
461,46,0,8,0,4,1,40,0
462,35,1,11,2,4,0,60,0
463,34,1,8,8,4,0,25,0
464,33,1,12,1,4,1,20,0
465,41,1,8,0,4,0,36,0
466,20,1,9,5,4,1,40,0
467,23,1,2,6,4,1,40,0
468,26,1,9,8,4,0,35,0
469,23,0,8,3,4,1,40,0
470,62,0,8,12,4,1,40,0
471,52,1,9,0,4,1,40,0
472,58,1,9,6,4,0,42,0
473,25,1,12,10,4,0,40,0
474,24,1,12,2,2,1,40,0
475,19,1,9,9,4,1,8,0
476,43,1,9,2,4,1,40,0
477,47,0,8,0,2,0,40,0
478,39,1,8,6,4,0,40,0
479,49,1,10,4,4,1,42,0
480,32,1,10,1,4,1,45,0
481,34,1,9,8,4,1,50,1
482,28,1,8,1,4,1,45,0
483,25,1,9,0,0,0,20,0
484,34,1,12,8,4,1,50,1
485,38,2,12,2,4,1,80,1
486,50,1,8,2,4,1,50,1
487,24,0,9,4,2,1,50,0
488,37,0,9,11,4,1,45,1
489,44,1,9,5,4,1,58,1
490,28,1,9,10,4,0,40,0
491,42,1,12,2,4,1,40,1
492,74,1,9,0,4,0,9,0
493,38,2,8,1,4,1,50,0
494,44,2,13,8,4,1,40,0
495,44,1,6,5,3,0,46,0
496,26,1,8,5,4,1,40,0
497,36,1,8,6,2,1,40,0
498,41,1,11,2,4,0,50,1
499,67,1,14,8,4,1,48,1
500,39,0,7,11,4,1,50,0
501,57,1,1,7,2,0,30,0
502,29,1,10,1,4,1,40,0
503,31,2,12,3,4,0,45,0
504,44,1,9,12,4,1,40,0
505,29,1,15,8,4,1,40,0
506,30,1,9,4,4,0,40,0
507,27,1,8,12,4,1,40,0
508,27,1,9,10,4,1,50,0
509,32,1,8,4,4,0,45,0
510,58,1,5,6,4,0,8,0
511,35,0,9,9,4,1,40,0
512,21,1,8,4,4,1,36,0
513,28,1,9,1,4,1,40,0
514,46,2,9,2,4,1,50,0
515,36,2,8,6,4,0,40,0
516,72,1,6,0,4,0,40,0
517,35,1,8,5,2,0,40,0
518,33,0,10,1,2,0,40,1
519,69,1,6,5,4,0,40,0
520,35,1,8,5,4,1,40,0
521,31,1,8,0,4,0,20,0
522,34,1,8,11,4,0,32,0
523,30,1,6,6,4,1,40,0
524,28,1,12,12,4,1,55,0
525,54,1,12,10,4,1,35,1
526,47,1,9,8,4,1,50,1
527,24,1,8,4,2,0,40,0
