age,employment-type,education-num,occupation,race,sex,weekly-hours,compensation
39,0,13,0,4,1,40,0
50,2,13,2,4,1,13,0
38,1,9,4,4,1,40,0
53,1,7,4,2,1,40,0
28,1,13,8,2,0,40,0
37,1,14,2,4,0,40,0
49,1,5,6,2,0,16,0
52,2,9,2,4,1,45,1
31,1,14,8,4,0,50,1
42,1,13,2,4,1,40,1
37,1,10,2,2,1,80,1
30,0,13,8,1,1,40,1
23,1,13,0,4,0,30,0
32,1,12,10,2,1,50,0
40,1,11,1,1,1,40,1
34,1,4,12,0,1,45,0
25,2,9,3,4,1,35,0
32,1,9,5,4,1,40,0
38,1,7,10,4,1,50,0
43,2,14,2,4,0,45,1
40,1,16,8,4,1,60,1
54,1,9,6,2,0,20,0
35,0,5,3,2,1,40,0
43,1,7,12,4,1,40,0
59,1,9,11,4,0,40,0
56,0,13,11,4,1,40,1
19,1,9,1,4,1,40,0
39,1,9,2,4,1,80,0
49,1,9,1,4,1,40,0
23,0,12,9,4,1,52,0
20,1,10,10,2,1,44,0
45,1,13,2,4,1,40,0
30,0,10,0,4,1,40,0
22,0,10,6,2,1,15,0
48,1,7,5,4,1,40,0
21,1,10,5,4,1,40,0
19,1,9,0,4,0,25,0
31,1,10,10,4,1,38,1
48,2,12,8,4,1,40,0
31,1,5,5,4,1,43,0
53,2,13,8,4,1,40,0
24,1,13,11,4,1,50,0
49,1,9,0,4,0,40,0
25,1,9,4,4,1,35,0
57,0,13,8,2,1,40,1
53,1,9,5,4,1,38,0
44,1,14,2,4,0,40,0
41,0,11,1,4,1,40,0
29,1,11,8,4,1,43,0
25,1,10,2,3,0,40,0
18,1,9,6,4,0,30,0
47,1,15,8,4,0,60,1
50,0,13,2,4,1,55,1
47,2,9,2,4,1,60,0
43,1,10,11,4,1,40,1
46,1,3,5,4,1,40,0
35,1,11,6,4,1,40,0
41,1,9,0,4,1,48,0
30,1,9,5,4,1,40,0
30,1,13,10,4,1,40,0
48,1,9,12,4,1,40,0
42,1,16,8,4,1,45,1
29,1,10,11,4,1,58,0
36,1,9,1,4,1,40,0
28,1,10,0,4,0,40,0
53,1,9,0,4,0,40,1
49,2,10,2,4,1,50,1
19,1,10,8,4,1,32,0
31,1,13,10,2,0,40,0
29,2,13,10,4,1,70,1
23,1,10,5,4,1,40,0
79,1,10,8,4,1,20,0
27,1,9,6,4,1,40,0
40,1,12,0,4,1,40,0
18,1,7,6,4,0,22,0
31,0,4,3,4,1,40,0
18,1,9,10,4,1,30,0
52,1,13,6,4,1,40,0
46,1,9,6,4,0,40,0
59,1,9,10,4,1,48,0
44,1,9,1,4,0,40,1
53,1,9,10,4,0,35,0
